City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Pangnirtung,CA,2022-04-24 14:51:49,66.1451,-65.7125,24.31,63,100,4.83
235,Acajutla,SV,2022-04-24 14:51:50,13.5928,-89.8275,84.85,58,6,2.59
236,Klisura,BG,2022-04-24 14:51:50,42.7,24.45,64.56,60,24,6.4
237,Ekibastuz,KZ,2022-04-24 14:51:50,51.6667,75.3667,38.98,35,92,9.19
238,Codrington,AU,2022-04-24 14:50:49,-38.2667,141.9667,48.92,92,0,7.85
239,Ipora,BR,2022-04-24 14:51:51,-16.4419,-51.1178,86.86,41,88,7.87
240,Lorengau,PG,2022-04-24 14:51:51,-2.0226,147.2712,80.46,82,61,5.1
241,Srednekolymsk,RU,2022-04-24 14:51:51,67.45,153.6833,6.55,99,90,6.96
242,East London,ZA,2022-04-24 14:51:49,-33.0153,27.9116,65.34,72,0,21.85
243,Havre-Saint-Pierre,CA,2022-04-24 14:51:52,50.2334,-63.5986,41.36,52,75,18.41
244,Namibe,AO,2022-04-24 14:51:52,-15.1961,12.1522,75.83,64,20,16.11
245,Blackwater,AU,2022-04-24 14:51:53,-23.5833,148.8833,66.63,71,93,16.69
246,Monrovia,LR,2022-04-24 14:49:43,6.3005,-10.7969,89.37,70,53,11.36
247,Yaan,NG,2022-04-24 14:51:53,7.3833,8.5667,90.68,48,78,8.7
248,Urozhaynoye,RU,2022-04-24 14:51:53,44.7883,44.9228,64.54,47,3,15.32
249,Nome,US,2022-04-24 14:51:54,64.5011,-165.4064,37.47,87,100,5.75
250,Alamor,EC,2022-04-24 14:51:54,-4.0181,-80.0197,69.51,76,75,0.51
251,Manitouwadge,CA,2022-04-24 14:51:54,49.1215,-85.8403,49.15,99,100,9.1
252,Vila,PT,2022-04-24 14:51:55,42.0304,-8.1588,49.69,82,100,6.22
253,Karimnagar,IN,2022-04-24 14:51:55,18.4333,79.15,94.32,26,75,7.81
254,Lakes Entrance,AU,2022-04-24 14:51:55,-37.8811,147.981,49.15,91,13,3.11
255,Inndyr,NO,2022-04-24 14:51:56,67.0338,14.0276,42.94,83,100,2.01
256,Leningradskiy,RU,2022-04-24 14:51:56,69.3833,178.4167,14.0,97,99,3.09
257,Tual,ID,2022-04-24 14:51:56,-5.6667,132.75,83.97,68,68,5.53
258,La Macarena,CO,2022-04-24 14:51:57,2.1837,-73.7849,72.57,97,100,4.79
259,Banda Aceh,ID,2022-04-24 14:51:57,5.5577,95.3222,81.9,80,19,6.62
